fid,Pressure_h,Temperatur,Humidity_p,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,SO2_October_2025,O3_October_2025,NO2_October_2025,CO_October_2025,UVAI_October_2025
619,719.75,4.23,52.45,72,1.3,25.54572,76.838922,2792.84100985897,0,0.12478,0.00003,0.02906,-0.14898
620,721.39,29.7,47.61,12,0.6,25.290792,76.225627,2774.84994135865,-0.00006,0.12494,0.00002,0.02931,-0.43874
621,721.47,4.33,53.26,72,1.19,25.545569,76.839116,2773.97317576821,0,0.12478,0.00003,0.02906,-0.14898
622,722.88,29.72,46.66,36,0.47,25.290949,76.225475,2758.53308829139,-0.00006,0.12494,0.00002,0.02931,-0.43874
623,723.13,4.4,54.29,108,1.12,25.545431,76.839259,2755.79802981612,0,0.12478,0.00003,0.02906,-0.14898
624,724.61,29.77,47.68,0,0.48,25.291095,76.225299,2739.62214852038,-0.00006,0.12494,0.00002,0.02931,-0.43874
625,724.86,4.48,55.17,24,1.22,25.545431,76.839259,2736.89237787096,0,0.12478,0.00003,0.02906,-0.14898
626,726.15,29.78,48.65,24,0.52,25.291135,76.225145,2722.81886510473,-0.00006,0.12494,0.00002,0.02931,-0.43874
627,726.54,4.57,55.51,120,1.19,25.545237,76.839392,2718.5680677208,0,0.12478,0.00003,0.02906,-0.14898
628,727.94,29.81,46.87,36,0.45,25.291346,76.224702,2703.3239999783,-0.00006,0.12494,0.00002,0.02931,-0.43874
629,728.42,4.64,55.65,72,1.12,25.545418,76.839361,2698.10292739369,0,0.12478,0.00003,0.02906,-0.14898
630,729.76,29.87,48.65,0,0.46,25.291346,76.224702,2683.54216310128,-0.00006,0.12494,0.00002,0.02931,-0.43874
631,730.15,4.72,56.69,48,1.21,25.545418,76.839361,2679.30839636498,0,0.12478,0.00003,0.02906,-0.14898
632,731.44,29.91,49.7,12,0.53,25.291463,76.224515,2665.3174317961,-0.00006,0.12494,0.00002,0.02931,-0.43874
633,731.94,4.83,58.38,72,1.24,25.545675,76.839439,2659.89994998257,0,0.12478,0.00003,0.02906,-0.14898
634,732.91,29.92,48.12,36,0.45,25.291565,76.224279,2649.39857546022,-0.00006,0.12494,0.00002,0.02931,-0.43874
635,733.75,4.89,58.58,120,1.24,25.545906,76.839686,2640.31369052972,0,0.12478,0.00003,0.02906,-0.14898
636,734.58,29.95,49.42,72,0.5,25.291659,76.223989,2631.34522705793,-0.00006,0.12494,0.00002,0.02931,-0.43874
637,735.65,5.02,59.03,84,1.28,25.546005,76.840248,2619.7955724915,0,0.12478,0.00003,0.02906,-0.14898
638,736.28,29.98,48.82,12,0.57,25.29187,76.223765,2613.0016695011,-0.00006,0.12494,0.00002,0.02931,-0.43874
