fid,Pressure_h,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,aod55_Octo,aod47_Octo,UVAI_Octob
1318,974.04,24,0.06,25.545085,76.864785,331.62552760452,0,0,-1.70276
1319,974.04,0,0.05,25.545079,76.864777,331.62552760452,0,0,-1.70276
1320,974.04,48,0.05,25.545075,76.864777,331.62552760452,0,0,-1.70276
1321,974.05,24,0.05,25.545077,76.864777,331.539583545781,0,0,-1.70276
1322,974.05,36,0.06,25.545075,76.864778,331.539583545781,0,0,-1.70276
1323,974.05,0,0.05,25.545077,76.864783,331.539583545781,0,0,-1.70276
1324,974.05,24,0.06,25.545077,76.864782,331.539583545781,0,0,-1.70276
1325,974.05,0,0.05,25.545077,76.86477,331.539583545781,0,0,-1.70276
1326,974.06,24,0.06,25.545077,76.864778,331.453640201502,0,0,-1.70276
1327,974.07,36,0.06,25.545077,76.864774,331.367697571667,0,0,-1.70276
1328,974.07,24,0.07,25.545069,76.864762,331.367697571667,0,0,-1.70276
1329,974.08,24,0.05,25.545083,76.864786,331.281755656266,0,0,-1.70276
1330,974.08,72,0.06,25.545075,76.864777,331.281755656266,0,0,-1.70276
1331,974.08,12,0.05,25.545077,76.864783,331.281755656266,0,0,-1.70276
1332,974.09,72,0.06,25.545077,76.86478,331.19581445529,0,0,-1.70276
1333,974.1,24,0.06,25.545077,76.86478,331.109873968715,0,0,-1.70276
1334,974.1,72,0.05,25.545076,76.864767,331.109873968715,0,0,-1.70276
1335,974.1,0,0.06,25.545073,76.864763,331.109873968715,0,0,-1.70276
1336,974.11,0,0.06,25.545077,76.864774,331.023934196534,0,0,-1.70276
1337,974.11,24,0.05,25.545073,76.864763,331.023934196534,0,0,-1.70276
1338,974.11,12,0.05,25.54507,76.864767,331.023934196534,0,0,-1.70276
1339,974.12,36,0.06,25.545077,76.864772,330.937995138734,0,0,-1.70276
1340,974.14,72,0.05,25.545071,76.864762,330.766119166221,0,0,-1.70276
1341,974.14,60,0.06,25.54507,76.864762,330.766119166221,0,0,-1.70276
1342,974.14,12,0.06,25.545071,76.864765,330.766119166221,0,0,-1.70276
1343,974.14,24,0.07,25.545071,76.864765,330.766119166221,0,0,-1.70276
1344,974.15,48,0.06,25.54507,76.864767,330.680182251484,0,0,-1.70276
1345,974.15,36,0.06,25.54507,76.864766,330.680182251484,0,0,-1.70276
1346,974.15,12,0.05,25.545071,76.864763,330.680182251484,0,0,-1.70276
1347,974.16,36,0.05,25.54507,76.864762,330.594246051072,0,0,-1.70276
1348,974.16,60,0.06,25.54507,76.864764,330.594246051072,0,0,-1.70276
1349,974.16,0,0.07,25.545068,76.864764,330.594246051072,0,0,-1.70276
1350,974.18,48,0.07,25.54507,76.864765,330.422375793175,0,0,-1.70276
